spotify_id,artist,name,popularity,release_date,genre,explicit,duration_ms,featured_artists
4xkOaSrkexMciUUogZKVTS,Eminem,'Till I Collapse,84.0,2002-05-26,rap,1.0,297787.0,['Nate Dogg']
3fOc9x06lKJBhz435mInlH,Metallica,St. Anger,53.0,2003-06-05,metal,0.0,441133.0,[]
5bU4KX47KqtDKKaLM4QCzh,Dope,Die MF Die,68.0,2001-12-06,metal,1.0,186067.0,[]
4Q1w4Ryyi8KNxxaFlOQClK,Drowning Pool,Step Up,53.0,2004-01-01,metal,0.0,197293.0,[]
49fT6owWuknekShh9utsjv,Kanye West,Feedback,61.0,2016-06-10,hip-hop,1.0,147240.0,[]
6DoXuH326aAYEN8CnlLmhP,Deftones,7 Words,51.0,1995-09-29,nu metal,1.0,223893.0,[]
104YdibC7VQy78xAVmgRYr,Fiona Apple,Limp,43.0,1999-11-09,singer-songwriter,0.0,209800.0,[]
1qxkzHlZBXFv5HfyYqJ8cy,Black Flag,Depression,36.0,1981,punk,0.0,148867.0,[]
6xK3sBdRm99g9T8Ov0gjdF,Deftones,When Girls Telephone Boys,41.0,2003-05-19,metal,0.0,276400.0,[]
62wtttQzoIA9HnNmGVd9Yq,Kanye West,Two Words,54.0,2004-02-10,hip-hop,1.0,266213.0,"['Mos Def', 'Freeway', 'The Boys Choir Of Harlem']"
3DaC3oRpGInTU0x8DvdSGp,Black Flag,What I See,34.0,1981,punk,0.0,115800.0,[]
7EZlzu01NzbR1jWEIDSk5T,Black Flag,Room 13,31.0,1981,punk,0.0,124733.0,[]
1jRzdY7oUBOhrylNtiMtBD,Mystikal,Shake Ya Ass,58.0,2000-09-26,hip-hop,1.0,256973.0,[]
1Nvy8JAL3DrO0a6xdgJSvv,Fugazi,Glue Man,35.0,1989,punk,0.0,263787.0,[]
3RwomkUaNHS0gFs3QqgudU,The Animals,Boom Boom,34.0,1965-02-01,classic rock,0.0,199760.0,[]
46sqkKk663MiT1u0WHLQKF,Peaches,Boys Wanna Be Her,42.0,2006-07-11,electroclash,0.0,235560.0,[]
35BOEtOvV1qwzjblSKcPJ1,Black Flag,No More,30.0,1981,punk,0.0,145933.0,[]
6Xpm4ajdj9SkiP08JKg3vK,Crossfade,Death Trend Setta,41.0,2004-04-13,rock,0.0,214787.0,[]
6D69DWilPEsY2TqayoB7x5,Black Flag,Padded Cell,29.0,1981,punk,0.0,107027.0,[]
2ZhswJTKMkNNTAjrTmPhOJ,Black Veil Brides,Knives and Pens,58.0,2010-07-20,post-hardcore,0.0,255840.0,[]
3GiJq4AQK7324mfIQbpiTf,Slipknot,Custer,59.0,2014-10-15,nu metal,1.0,254467.0,[]
7HFCovMwZIinGBpoZyUsKC,Filter,Welcome to the Fold,52.0,1999-08-24,rock,0.0,460400.0,[]
5DoTRJlzMaGAMHPTDrfvfW,Sevendust,Black,53.0,1997,metal,1.0,248906.0,[]
5o9jJ0aRyn7WswL4giBmMB,Method Man,Meth Vs. Chef,39.0,1994-11-15,hip-hop,1.0,216200.0,['Raekwon']
7n6DnNdKKhjyDa1GlGgLeQ,Michael Jackson,Tabloid Junkie,45.0,1995-06-16,pop,0.0,272707.0,[]
60nriFcKARUpnYksJkDqJR,Minutemen,#1 Hit Song,35.0,1984-07-24,post-punk,0.0,109067.0,[]
14CVBGaoD5k3VC9Qmz5imZ,Rammstein,Wollt ihr das Bett in Flammen sehen,49.0,1995-09-24,industrial metal,0.0,317333.0,[]
3bbVPVAL3ulmu3kNGJ9EDF,Minutemen,It's Expected I'm Gone,32.0,1984-07-24,post-punk,0.0,125000.0,[]
4DuE7W3HEq037BuHzas2Ym,Type O Negative,Kill All the White People,33.0,1993,gothic metal,0.0,204040.0,[]
3p7Lr8Kpy0imLB1yalPgQu,Seether,Out Of My Way,44.0,2004-01-01,alternative rock,0.0,231773.0,[]
3mtQQLpGwnIuYMgGADBlGz,Big Black,Kerosene,41.0,1985-06-01,noise rock,1.0,363907.0,[]
4DgsvJNNGvV5WPQ40qR3R8,Bikini Kill,New Radio,36.0,1998-06-23,riot grrrl,0.0,93493.0,[]
2QecHpp1nzPMwo95fwxZ9h,Avenged Sevenfold,Requiem,52.0,2013-08-23,symphonic metal,0.0,261573.0,[]
2z2qTST29C0jxdCGjlqVNE,Minutemen,Shit from an Old Notebook,28.0,1984-07-24,punk,0.0,96067.0,[]
4XtywUcY2InXkgLL3OfDmp,Danzig,Tired Of Being Alive,39.0,1990-01-01,hard rock,1.0,243533.0,[]
6yE653bOUMCnnAbCOnZS55,Chevelle,Shameful Metaphors,44.0,2009-08-31,hard rock,0.0,261760.0,[]
52qsLeKxfmSjaxAiHGPMbk,Stiff Little Fingers,Wasted Life,33.0,1979,punk,1.0,189707.0,[]
53T0V3jTJDs3kIqwvlgspI,Aphex Twin,Come To Daddy (Pappy Mix),44.0,1997-10-06,electronic,0.0,262533.0,[]
0BI9BYPVtp65GqNkVCl6tS,Nas,Surviving the Times,47.0,2007-11-06,hip hop,0.0,283800.0,[]
74PzFTj0YKQhtESkU5VrfF,Minutemen,The Roar of the Masses Could Be Farts,24.0,1984-07-24,post-punk,0.0,81027.0,[]
6cfvxVx2PZFSFeghhmciy6,Ol' Dirty Bastard,Damage,36.0,1995,hip-hop,1.0,167867.0,[]
3VrWfrDjNLLNhqXNJRU0JR,Butthole Surfers,Sweat Loaf,36.0,1987,alternative,0.0,369320.0,[]
5VYVcGgRxhz39ujXLRB42p,Marilyn Manson,Rock 'N' Roll Nigger,33.0,1995,industrial metal,1.0,211600.0,[]
0YHhpW8PnU0WNuAKAVuM70,Ween,Piss up a Rope,44.0,1996-05-06,country,1.0,213560.0,[]
2vtjdPo6BfEFEk9a83mO45,Twiztid,Afraid of Me,38.0,2003-07-01,horrorcore,1.0,247867.0,[]
6SOBCABlykuNrO04rmXpLs,6ix9ine,TATI,65.0,2018-11-27,hip-hop,1.0,154565.0,['DJ SpinKing']
5J1ewKkCC28LleuiL8f9WG,Stiff Little Fingers,State Of Emergency,28.0,1979,punk,0.0,148440.0,[]
4KscmBsFFjcfnD3XbYIklO,Lisa Gerrard,Elysium,57.0,2007-02-12,ambient,0.0,162827.0,[]
7ygrDIOwwM4gtNf8Pz6kxW,House of Pain,Put Your Head Out,40.0,1994-07-21,hip hop,0.0,182160.0,['House Of Pain']
5dVjEdi8hUutQSoEZsBKXr,White Zombie,Feed The Gods,39.0,2003,metal,0.0,270000.0,[]
65l5KYs1YMFplVybSvFZqZ,50 Cent,Lifes On The Line,43.0,2003-02-06,rap,1.0,218480.0,[]
4Hs5Fu5fHNPwHvKAiUXotu,Nine Inch Nails,You Know What You Are?,39.0,2005-05-03,industrial,1.0,221933.0,[]
2lEWD5hJZxkhTKO3p9441l,D.R.I.,Couch Slouch,28.0,1985,hardcore,0.0,82120.0,[]
53Chgqu2TN0wlPw9EeJjSb,The Animals,I Put a Spell on You,42.0,1966-06,classic rock,0.0,176573.0,[]
53yBfGozCZOAqaM16PwMKP,Rammstein,"REISE, REISE",51.0,2004-09-27,industrial metal,0.0,251147.0,[]
4zHRHotgEcUcQzheUld3n9,KMFDM,Juke-Joint Jezebel,43.0,1995,industrial,0.0,339987.0,[]
2nn5hgxjtmugWJudh9zlxt,The Animals,Talkin' Bout You,23.0,1964-01-01,rock,0.0,115613.0,[]
66ShyjRt7dvrbBRhzkx5lf,Motograter,Suffocate,40.0,2003-06-19,nu metal,1.0,180907.0,[]
4ezafcOuI5em8LoE2xxnpv,Xzibit,What U See Is What U Get,53.0,1999-11-08,hip-hop,1.0,308907.0,[]
4YhA8wCS03e32t61v4D8Ik,Filter,American Cliche,38.0,2002-07-30,rock,0.0,217627.0,[]
4xh98RD1TjVR4nHa47iH72,Ja Rule,Furious,56.0,2001-01-01,rap,1.0,258000.0,"['Vita', 'O1']"
5ka9tzfUYOsFAz6cSUvFX6,DMX,My Niggas,44.0,1998,rap,1.0,87333.0,[]
6tGtBvK6DezcjbtUxXGyxe,Kool Moe Dee,I Go To Work,39.0,1989-05-12,hip-hop,0.0,282093.0,[]
3GkclSNFTsqpTZJhzK9FCy,Monica,Street Symphony,37.0,1998-07-13,soul,0.0,333960.0,[]
3aKhLm5mONfAtS1NZXG8f4,Metal Church,Badlands,36.0,1989-02-07,thrash metal,0.0,444453.0,[]
6waIDGD8KburJSTvbbtmr7,Traffic,Shoot Out At The Fantasy Factory,24.0,1973-01-01,classic rock,0.0,363067.0,[]
2luq0uISJ4Qn0nYEWkHblt,Insane Clown Posse,Tilt-A-Whirl,40.0,2007-01-01,horrorcore,1.0,237413.0,[]
6NrEJlXwe5VSZuANModTm3,Naked Raygun,Rat Patrol,26.0,1984-01-01,punk,0.0,131867.0,[]
6M3Qat8CTPMnagoVSSOXvI,Slipknot,Prelude 3.0,46.0,2004,metal,0.0,237293.0,[]
5n8Aro6j1bEGIy7Tpo7FV7,N.W.A,Fuck Tha Police,70.0,1988-08-08,hip-hop,1.0,345717.0,['N.W.A.']
6PDBcqHNIg5cOojcCkhxYM,White Zombie,"Ratfinks, Suicide Tanks And Cannibal Girls",43.0,2008-01-01,soundtrack,0.0,232520.0,[]
1HZXGK0yyl1ygZn0wsdVoL,Pegboy,Strong Reaction,37.0,1991-09-15,indie,0.0,237907.0,[]
17GdAx0kHOFNXZiCj8HuOW,EPMD,Headbanger,42.0,1999-01-01,hip-hop,1.0,291133.0,"['Redman', 'K-Solo']"
3glqlA5qY3bbo8UaUDGPnw,Wu-Tang Clan,Triumph,63.0,1997-06-03,hip hop,1.0,338187.0,['Cappadonna']
5wDwRWRJmRkVbg0d7vH4Lx,Apache,Gangsta Bitch,42.0,1993-03-18,hip-hop,1.0,284067.0,[]
5huSgTVqBdIJTFhpShJfcg,Living Colour,Love Rears Its Ugly Head,49.0,1990-08-28,rock,0.0,259467.0,[]
0qbzjDlkKO3upenopyegk8,White Zombie,God of Thunder,26.0,1989-01-01,metal,1.0,231773.0,[]
6OQrmEIK8KOOVcSoSaEo40,DMX,What's My Name,53.0,1999-12-21,hip-hop,1.0,232333.0,[]
3oYHwl2ZEocFyBpzQ2vLBt,Eddie Cochran,Mean When I'm Mad,19.0,1957-11-01,rockabilly,0.0,114160.0,[]
7CpbhqKUedOIrcvc94p60Y,Drowning Pool,Bodies,73.0,2001-01-01,metal,0.0,201960.0,[]
5cZqsjVs6MevCnAkasbEOX,Limp Bizkit,Break Stuff,73.0,1999,nu metal,1.0,166707.0,[]
1WWgMk8nD79p8VeKFGYrOw,Rage Against the Machine,Bullet In The Head,59.0,1992,rock,1.0,306680.0,['Rage Against The Machine']
23wfXwnsPZYe5A1xXRHb3J,Eminem,The Way I Am,71.0,2000-05-23,rap,1.0,290427.0,[]
6pfdW2NouUI3ZnugM7r0G0,Marilyn Manson,The Fight Song,61.0,2000-11-11,metal,1.0,175760.0,[]
68DKrU7sTyDpDA5T3dsOlk,Queens of the Stone Age,"You Think I Ain't Worth A Dollar, But I Feel Like A Millionaire",49.0,2002,stoner rock,0.0,192573.0,[]
27msmgcdSRniJHfocEf6EH,A Perfect Circle,Pet,57.0,2003-01-01,alternative rock,0.0,274333.0,[]
