spotify_id,valence,danceability,energy,number_of_emotion_tags,valence_tags,arousal_tags,dominance_tags,tempo,key,mode,instrumentalness,liveness,speechiness,acousticness,loudness
4xkOaSrkexMciUUogZKVTS,0.1,0.5479999999999999,0.847,6.0,4.55,5.273124999999999,5.690625,171.447,1.0,1.0,0.0,0.0816,0.186,0.0622,-3.237
3fOc9x06lKJBhz435mInlH,0.498,0.249,0.949,8.0,3.71,5.832999999999999,5.427250000000002,185.252,2.0,0.0,0.0228,0.0953,0.0678,0.00131,-2.642
5bU4KX47KqtDKKaLM4QCzh,0.5670000000000001,0.657,0.96,7.0,3.771176470588235,5.348235294117648,5.441764705882353,126.02,5.0,0.0,0.000997,0.109,0.07,0.00169,-3.524
4Q1w4Ryyi8KNxxaFlOQClK,0.585,0.431,0.962,9.0,2.9713888888888893,5.537499999999999,4.72638888888889,156.10299999999995,6.0,1.0,5.04e-06,0.321,0.0789,8.34e-06,-3.269
49fT6owWuknekShh9utsjv,0.1689999999999999,0.8109999999999999,0.5660000000000001,1.0,3.08,5.87,5.49,100.224,8.0,0.0,0.0,0.104,0.517,0.563,-6.033
6DoXuH326aAYEN8CnlLmhP,0.53,0.431,0.906,10.0,3.807121212121212,5.473939393939394,4.7290909090909095,125.459,9.0,1.0,0.0001,0.123,0.0945,0.0001,-6.13
104YdibC7VQy78xAVmgRYr,0.343,0.7709999999999999,0.515,20.0,3.7372108843537424,5.610204081632652,4.626734693877551,119.961,9.0,0.0,0.000168,0.405,0.0499,0.116,-10.456
1qxkzHlZBXFv5HfyYqJ8cy,0.0368,0.147,0.958,9.0,3.2594444444444446,5.203055555555556,4.422777777777778,137.829,1.0,1.0,0.972,0.893,0.107,0.0957,-13.427
6xK3sBdRm99g9T8Ov0gjdF,0.0767,0.18,0.982,8.0,3.910740740740741,4.915555555555556,4.631851851851851,81.75,5.0,1.0,0.792,0.331,0.31,1.36e-05,-4.691
62wtttQzoIA9HnNmGVd9Yq,0.446,0.442,0.807,3.0,4.564285714285714,5.13,4.842857142857143,84.649,6.0,1.0,6.43e-06,0.217,0.265,0.0158,-4.753
3DaC3oRpGInTU0x8DvdSGp,0.317,0.467,0.738,7.0,3.2054761904761904,5.0269047619047615,4.584761904761905,112.325,1.0,0.0,0.00384,0.0697,0.104,0.0279,-13.983
7EZlzu01NzbR1jWEIDSk5T,0.1369999999999999,0.362,0.961,8.0,3.285,5.297222222222223,4.716296296296297,101.931,11.0,0.0,0.00187,0.623,0.108,0.331,-14.711
1jRzdY7oUBOhrylNtiMtBD,0.6659999999999999,0.914,0.607,11.0,5.680882352941175,5.751911764705882,5.930882352941175,98.054,7.0,1.0,0.0,0.0515,0.32,0.0626,-5.658
1Nvy8JAL3DrO0a6xdgJSvv,0.16,0.315,0.7979999999999999,7.0,3.838627450980392,4.418725490196079,4.059803921568627,109.753,7.0,1.0,0.303,0.3720000000000001,0.0441,5.94e-05,-7.307
3RwomkUaNHS0gFs3QqgudU,0.799,0.4320000000000001,0.659,4.0,3.796341463414634,4.475853658536585,5.564390243902439,78.98899999999998,10.0,1.0,0.0,0.289,0.0505,0.386,-5.388999999999999
46sqkKk663MiT1u0WHLQKF,0.721,0.773,0.512,7.0,5.841999999999999,5.979833333333334,5.920166666666666,139.034,2.0,1.0,0.0,0.0712,0.0887,0.141,-3.845
35BOEtOvV1qwzjblSKcPJ1,0.0279,0.333,0.7120000000000001,5.0,3.5075000000000003,4.64875,4.8025,112.776,2.0,1.0,0.95,0.359,0.103,0.305,-15.726
6Xpm4ajdj9SkiP08JKg3vK,0.523,0.5529999999999999,0.963,3.0,2.96,5.6091304347826085,4.957826086956522,95.015,11.0,1.0,0.0108,0.0357,0.117,3.27e-05,-5.2860000000000005
