spotify_id,artist,name,popularity,release_date,genre,explicit,duration_ms,featured_artists
4xkOaSrkexMciUUogZKVTS,Eminem,'Till I Collapse,84,2002-05-26,rap,1,297787,['Nate Dogg']
3fOc9x06lKJBhz435mInlH,Metallica,St. Anger,53,2003-06-05,metal,0,441133,[]
5bU4KX47KqtDKKaLM4QCzh,Dope,Die MF Die,68,2001-12-06,metal,1,186067,[]
4Q1w4Ryyi8KNxxaFlOQClK,Drowning Pool,Step Up,53,2004-01-01,metal,0,197293,[]
49fT6owWuknekShh9utsjv,Kanye West,Feedback,61,2016-06-10,hip-hop,1,147240,[]
6DoXuH326aAYEN8CnlLmhP,Deftones,7 Words,51,1995-09-29,nu metal,1,223893,[]
104YdibC7VQy78xAVmgRYr,Fiona Apple,Limp,43,1999-11-09,singer-songwriter,0,209800,[]
1qxkzHlZBXFv5HfyYqJ8cy,Black Flag,Depression,36,1981,punk,0,148867,[]
6xK3sBdRm99g9T8Ov0gjdF,Deftones,When Girls Telephone Boys,41,2003-05-19,metal,0,276400,[]
62wtttQzoIA9HnNmGVd9Yq,Kanye West,Two Words,54,2004-02-10,hip-hop,1,266213,"['Mos Def', 'Freeway', 'The Boys Choir Of Harlem']"
3DaC3oRpGInTU0x8DvdSGp,Black Flag,What I See,34,1981,punk,0,115800,[]
7EZlzu01NzbR1jWEIDSk5T,Black Flag,Room 13,31,1981,punk,0,124733,[]
1jRzdY7oUBOhrylNtiMtBD,Mystikal,Shake Ya Ass,58,2000-09-26,hip-hop,1,256973,[]
1Nvy8JAL3DrO0a6xdgJSvv,Fugazi,Glue Man,35,1989,punk,0,263787,[]
3RwomkUaNHS0gFs3QqgudU,The Animals,Boom Boom,34,1965-02-01,classic rock,0,199760,[]
46sqkKk663MiT1u0WHLQKF,Peaches,Boys Wanna Be Her,42,2006-07-11,electroclash,0,235560,[]
35BOEtOvV1qwzjblSKcPJ1,Black Flag,No More,30,1981,punk,0,145933,[]
6Xpm4ajdj9SkiP08JKg3vK,Crossfade,Death Trend Setta,41,2004-04-13,rock,0,214787,[]
6D69DWilPEsY2TqayoB7x5,Black Flag,Padded Cell,29,1981,punk,0,107027,[]
2ZhswJTKMkNNTAjrTmPhOJ,Black Veil Brides,Knives and Pens,58,2010-07-20,post-hardcore,0,255840,[]
3GiJq4AQK7324mfIQbpiTf,Slipknot,Custer,59,2014-10-15,nu metal,1,254467,[]
7HFCovMwZIinGBpoZyUsKC,Filter,Welcome to the Fold,52,1999-08-24,rock,0,460400,[]
5DoTRJlzMaGAMHPTDrfvfW,Sevendust,Black,53,1997,metal,1,248906,[]
5o9jJ0aRyn7WswL4giBmMB,Method Man,Meth Vs. Chef,39,1994-11-15,hip-hop,1,216200,['Raekwon']
1ED6dMdVwXGkXAjsJdk5f0,The Stooges,L.A. Blues,29,1970,punk,0,293867,[]
7n6DnNdKKhjyDa1GlGgLeQ,Michael Jackson,Tabloid Junkie,45,1995-06-16,pop,0,272707,[]
60nriFcKARUpnYksJkDqJR,Minutemen,#1 Hit Song,35,1984-07-24,post-punk,0,109067,[]
14CVBGaoD5k3VC9Qmz5imZ,Rammstein,Wollt ihr das Bett in Flammen sehen,49,1995-09-24,industrial metal,0,317333,[]
3bbVPVAL3ulmu3kNGJ9EDF,Minutemen,It's Expected I'm Gone,32,1984-07-24,post-punk,0,125000,[]
4DuE7W3HEq037BuHzas2Ym,Type O Negative,Kill All the White People,33,1993,gothic metal,0,204040,[]
3p7Lr8Kpy0imLB1yalPgQu,Seether,Out Of My Way,44,2004-01-01,alternative rock,0,231773,[]
3mtQQLpGwnIuYMgGADBlGz,Big Black,Kerosene,41,1985-06-01,noise rock,1,363907,[]
4DgsvJNNGvV5WPQ40qR3R8,Bikini Kill,New Radio,36,1998-06-23,riot grrrl,0,93493,[]
2QecHpp1nzPMwo95fwxZ9h,Avenged Sevenfold,Requiem,52,2013-08-23,symphonic metal,0,261573,[]
2z2qTST29C0jxdCGjlqVNE,Minutemen,Shit from an Old Notebook,28,1984-07-24,punk,0,96067,[]
4XtywUcY2InXkgLL3OfDmp,Danzig,Tired Of Being Alive,39,1990-01-01,hard rock,1,243533,[]
6yE653bOUMCnnAbCOnZS55,Chevelle,Shameful Metaphors,44,2009-08-31,hard rock,0,261760,[]
52qsLeKxfmSjaxAiHGPMbk,Stiff Little Fingers,Wasted Life,33,1979,punk,1,189707,[]
53T0V3jTJDs3kIqwvlgspI,Aphex Twin,Come To Daddy (Pappy Mix),44,1997-10-06,electronic,0,262533,[]
53T0V3jTJDs3kIqwvlgspI,Aphex Twin,Come To Daddy (Pappy Mix),44,1997-10-06,electronic,0,262533,[]
53T0V3jTJDs3kIqwvlgspI,Aphex Twin,Come To Daddy (Pappy Mix),44,1997-10-06,electronic,0,262533,[]
0BI9BYPVtp65GqNkVCl6tS,Nas,Surviving the Times,47,2007-11-06,hip hop,0,283800,[]
74PzFTj0YKQhtESkU5VrfF,Minutemen,The Roar of the Masses Could Be Farts,24,1984-07-24,post-punk,0,81027,[]
6cfvxVx2PZFSFeghhmciy6,Ol' Dirty Bastard,Damage,36,1995,hip-hop,1,167867,[]
3VrWfrDjNLLNhqXNJRU0JR,Butthole Surfers,Sweat Loaf,36,1987,alternative,0,369320,[]
5VYVcGgRxhz39ujXLRB42p,Marilyn Manson,Rock 'N' Roll Nigger,33,1995,industrial metal,1,211600,[]
5VYVcGgRxhz39ujXLRB42p,Marilyn Manson,Rock 'N' Roll Nigger,33,1995,rock,1,211600,[]
0YHhpW8PnU0WNuAKAVuM70,Ween,Piss up a Rope,44,1996-05-06,country,1,213560,[]
2vtjdPo6BfEFEk9a83mO45,Twiztid,Afraid of Me,38,2003-07-01,horrorcore,1,247867,[]
6SOBCABlykuNrO04rmXpLs,6ix9ine,TATI,65,2018-11-27,hip-hop,1,154565,['DJ SpinKing']
